rank,count,cumul_pct,u8_p0,u8_p1,u8_p2,u8_p3,ref64_rank,hex
25,1252383,18.9956,26,26,26,26,25,d1d0d03dd1d0d03dd1d0d03dd1d0d03d
26,1151885,19.2450,39,39,39,39,26,9d9c1c3e9d9c1c3e9d9c1c3e9d9c1c3e
27,1072922,19.4774,50,50,50,50,27,c9c8483ec9c8483ec9c8483ec9c8483e
28,1034477,19.7015,40,40,40,40,28,a1a0203ea1a0203ea1a0203ea1a0203e
29,994012,19.9168,25,25,25,25,29,c9c8c83dc9c8c83dc9c8c83dc9c8c83d
30,961986,20.1251,57,57,57,57,30,e5e4643ee5e4643ee5e4643ee5e4643e
31,951997,20.3313,41,41,41,41,31,a5a4243ea5a4243ea5a4243ea5a4243e
32,944291,20.5358,42,42,42,42,32,a9a8283ea9a8283ea9a8283ea9a8283e
33,917681,20.7346,58,58,58,58,33,e9e8683ee9e8683ee9e8683ee9e8683e
34,914218,20.9326,56,56,56,56,34,e1e0603ee1e0603ee1e0603ee1e0603e
35,907453,21.1291,43,43,43,43,35,adac2c3eadac2c3eadac2c3eadac2c3e
36,868794,21.3173,24,24,24,24,36,c1c0c03dc1c0c03dc1c0c03dc1c0c03d
37,852794,21.5020,55,55,55,55,37,dddc5c3edddc5c3edddc5c3edddc5c3e
38,848283,21.6857,44,44,44,44,38,b1b0303eb1b0303eb1b0303eb1b0303e
39,808618,21.8608,59,59,59,59,39,edec6c3eedec6c3eedec6c3eedec6c3e
40,788979,22.0317,54,54,54,54,40,d9d8583ed9d8583ed9d8583ed9d8583e
41,776375,22.1998,45,45,45,45,41,b5b4343eb5b4343eb5b4343eb5b4343e
42,757057,22.3638,53,53,53,53,42,d5d4543ed5d4543ed5d4543ed5d4543e
43,750053,22.5263,52,52,52,52,43,d1d0503ed1d0503ed1d0503ed1d0503e
44,746280,22.6879,205,205,205,205,44,cecd4d3fcecd4d3fcecd4d3fcecd4d3f
45,738440,22.8478,23,23,23,23,45,b9b8b83db9b8b83db9b8b83db9b8b83d
46,734002,23.0068,46,46,46,46,46,b9b8383eb9b8383eb9b8383eb9b8383e
47,722659,23.1633,47,47,47,47,47,bdbc3c3ebdbc3c3ebdbc3c3ebdbc3c3e
48,719223,23.3191,51,51,51,51,48,cdcc4c3ecdcc4c3ecdcc4c3ecdcc4c3e
49,697129,23.4701,49,49,49,49,49,c5c4443ec5c4443ec5c4443ec5c4443e
50,671967,23.6156,60,60,60,60,50,f1f0703ef1f0703ef1f0703ef1f0703e
51,667585,23.7602,22,22,22,22,51,b1b0b03db1b0b03db1b0b03db1b0b03d
52,645238,23.8999,48,48,48,48,52,c1c0403ec1c0403ec1c0403ec1c0403e
53,640116,24.0386,12,12,12,12,53,c1c0403dc1c0403dc1c0403dc1c0403d
54,617526,24.1723,21,21,21,21,54,a9a8a83da9a8a83da9a8a83da9a8a83d
55,607850,24.3040,61,61,61,61,55,f5f4743ef5f4743ef5f4743ef5f4743e
56,580130,24.4296,3,4,4,4,,c1c0403c8180803c8180803c8180803c
57,579344,24.5551,62,62,62,62,56,f9f8783ef9f8783ef9f8783ef9f8783e
58,579137,24.6805,4,4,4,3,,8180803c8180803c8180803cc1c0403c
59,560212,24.8018,20,20,20,20,57,a1a0a03da1a0a03da1a0a03da1a0a03d
60,555014,24.9221,63,63,63,63,58,fdfc7c3efdfc7c3efdfc7c3efdfc7c3e
61,552111,25.0416,16,16,16,16,59,8180803d8180803d8180803d8180803d
62,531418,25.1567,64,64,64,64,60,8180803e8180803e8180803e8180803e
63,529305,25.2714,3,3,3,4,,c1c0403cc1c0403cc1c0403c8180803c
64,525184,25.3851,4,3,3,3,,8180803cc1c0403cc1c0403cc1c0403c
65,515175,25.4967,13,13,13,13,61,d1d0503dd1d0503dd1d0503dd1d0503d
66,491750,25.6032,65,65,65,65,62,8382823e8382823e8382823e8382823e
67,476629,25.7064,19,19,19,19,63,9998983d9998983d9998983d9998983d
68,474401,25.8092,66,66,66,66,64,8584843e8584843e8584843e8584843e
69,465758,25.9100,14,14,14,14,,e1e0603de1e0603de1e0603de1e0603d
70,443741,26.0061,15,15,15,15,,f1f0703df1f0703df1f0703df1f0703d
71,441572,26.1018,67,67,67,67,,8786863e8786863e8786863e8786863e
72,440473,26.1972,217,217,217,217,,dad9593fdad9593fdad9593fdad9593f
73,439326,26.2923,18,18,18,18,,9190903d9190903d9190903d9190903d
74,428933,26.3852,68,68,68,68,,8988883e8988883e8988883e8988883e
75,420722,26.4764,17,17,17,17,,8988883d8988883d8988883d8988883d
76,418932,26.5671,4,4,4,5,,8180803c8180803c8180803ca1a0a03c
77,417966,26.6576,3,3,4,4,,c1c0403cc1c0403c8180803c8180803c
78,414181,26.7473,4,4,3,3,,8180803c8180803cc1c0403cc1c0403c
79,414168,26.8370,5,4,4,4,,a1a0a03c8180803c8180803c8180803c
80,401490,26.9240,69,69,69,69,,8b8a8a3e8b8a8a3e8b8a8a3e8b8a8a3e
81,393429,27.0092,4,3,4,4,,8180803cc1c0403c8180803c8180803c
82,392572,27.0942,4,4,3,4,,8180803c8180803cc1c0403c8180803c
83,381268,27.1768,70,70,70,70,,8d8c8c3e8d8c8c3e8d8c8c3e8d8c8c3e
84,357682,27.2542,71,71,71,71,,8f8e8e3e8f8e8e3e8f8e8e3e8f8e8e3e
85,337552,27.3274,72,72,72,72,,9190903e9190903e9190903e9190903e
86,336318,27.4002,4,5,5,5,,8180803ca1a0a03ca1a0a03ca1a0a03c
87,335505,27.4729,3,3,4,3,,c1c0403cc1c0403c8180803cc1c0403c
88,335133,27.5454,5,5,5,4,,a1a0a03ca1a0a03ca1a0a03c8180803c
89,334204,27.6178,3,4,3,3,,c1c0403c8180803cc1c0403cc1c0403c
90,315202,27.6861,73,73,73,73,,9392923e9392923e9392923e9392923e
91,305112,27.7522,0,1,1,1,,000000008180803b8180803b8180803b
92,304051,27.8180,1,1,1,0,,8180803b8180803b8180803b00000000
93,297554,27.8825,74,74,74,74,,9594943e9594943e9594943e9594943e
94,288600,27.9450,4,4,5,5,,8180803c8180803ca1a0a03ca1a0a03c
95,284411,28.0066,5,5,4,4,,a1a0a03ca1a0a03c8180803c8180803c
96,283079,28.0679,75,75,75,75,,9796963e9796963e9796963e9796963e
97,267817,28.1259,76,76,76,76,,9998983e9998983e9998983e9998983e
98,264889,28.1833,4,4,5,4,,8180803c8180803ca1a0a03c8180803c
99,264039,28.2404,28,29,29,29,,e1e0e03de9e8e83de9e8e83de9e8e83d
100,263953,28.2976,29,29,29,28,,e9e8e83de9e8e83de9e8e83de1e0e03d
