class,rank,count,pct,u8_p0,u8_p1,u8_p2,u8_p3,ref64,hex
ELBOW,42,137380,0.2221,63,63,63,63,*,fdfc7c3efdfc7c3efdfc7c3efdfc7c3e
ELBOW,43,133231,0.2154,7,7,7,7,*,e1e0e03ce1e0e03ce1e0e03ce1e0e03c
ELBOW,44,132909,0.2149,51,51,51,51,*,cdcc4c3ecdcc4c3ecdcc4c3ecdcc4c3e
ELBOW,45,128589,0.2079,65,65,65,65,*,8382823e8382823e8382823e8382823e
ELBOW,46,128230,0.2073,20,20,20,20,*,a1a0a03da1a0a03da1a0a03da1a0a03d
ELBOW,47,128216,0.2073,21,21,21,21,*,a9a8a83da9a8a83da9a8a83da9a8a83d
ELBOW,48,120765,0.1952,66,66,66,66,*,8584843e8584843e8584843e8584843e
ELBOW,49,117274,0.1896,50,50,50,50,*,c9c8483ec9c8483ec9c8483ec9c8483e
ELBOW,50,114302,0.1848,19,19,19,19,*,9998983d9998983d9998983d9998983d
ELBOW,51,113049,0.1828,67,67,67,67,,8786863e8786863e8786863e8786863e
ELBOW,52,107004,0.1730,68,68,68,68,,8988883e8988883e8988883e8988883e
ELBOW,53,106026,0.1714,39,39,39,39,*,9d9c1c3e9d9c1c3e9d9c1c3e9d9c1c3e
ELBOW,54,105387,0.1704,18,18,18,18,,9190903d9190903d9190903d9190903d
ELBOW,55,103167,0.1668,49,49,49,49,*,c5c4443ec5c4443ec5c4443ec5c4443e
ELBOW,56,99741,0.1613,17,17,17,17,,8988883d8988883d8988883d8988883d
ELBOW,57,97656,0.1579,69,69,69,69,,8b8a8a3e8b8a8a3e8b8a8a3e8b8a8a3e
ELBOW,58,97555,0.1577,48,48,48,48,*,c1c0403ec1c0403ec1c0403ec1c0403e
ELBOW,59,96025,0.1552,40,40,40,40,*,a1a0203ea1a0203ea1a0203ea1a0203e
ELBOW,60,95863,0.1550,12,12,12,12,*,c1c0403dc1c0403dc1c0403dc1c0403d
ELBOW,61,94800,0.1533,14,14,14,14,,e1e0603de1e0603de1e0603de1e0603d
ELBOW,62,94323,0.1525,13,13,13,13,*,d1d0503dd1d0503dd1d0503dd1d0503d
ELBOW,63,92033,0.1488,41,41,41,41,*,a5a4243ea5a4243ea5a4243ea5a4243e
ELBOW,64,91875,0.1485,16,16,16,16,*,8180803d8180803d8180803d8180803d
ELBOW,65,90306,0.1460,70,70,70,70,,8d8c8c3e8d8c8c3e8d8c8c3e8d8c8c3e
ELBOW,66,89498,0.1447,15,15,15,15,,f1f0703df1f0703df1f0703df1f0703d
ELBOW,67,89336,0.1444,47,47,47,47,*,bdbc3c3ebdbc3c3ebdbc3c3ebdbc3c3e
ELBOW,68,87321,0.1412,42,42,42,42,*,a9a8283ea9a8283ea9a8283ea9a8283e
ELBOW,69,84695,0.1369,46,46,46,46,*,b9b8383eb9b8383eb9b8383eb9b8383e
ELBOW,70,84167,0.1361,44,44,44,44,*,b1b0303eb1b0303eb1b0303eb1b0303e
ELBOW,71,84158,0.1361,43,43,43,43,*,adac2c3eadac2c3eadac2c3eadac2c3e
ELBOW,72,83066,0.1343,71,71,71,71,,8f8e8e3e8f8e8e3e8f8e8e3e8f8e8e3e
ELBOW,73,82643,0.1336,45,45,45,45,*,b5b4343eb5b4343eb5b4343eb5b4343e
ELBOW,74,77372,0.1251,4,4,4,3,,8180803c8180803c8180803cc1c0403c
ELBOW,75,77261,0.1249,3,3,3,4,,c1c0403cc1c0403cc1c0403c8180803c
ELBOW,76,76680,0.1240,4,3,3,3,,8180803cc1c0403cc1c0403cc1c0403c
ELBOW,77,76354,0.1234,3,4,4,4,,c1c0403c8180803c8180803c8180803c
ELBOW,78,73675,0.1191,72,72,72,72,,9190903e9190903e9190903e9190903e
ELBOW,79,66260,0.1071,73,73,73,73,,9392923e9392923e9392923e9392923e
ELBOW,80,61259,0.0990,74,74,74,74,,9594943e9594943e9594943e9594943e
ELBOW,81,59677,0.0965,75,75,75,75,,9796963e9796963e9796963e9796963e
ELBOW,82,55379,0.0895,2,3,3,3,,8180003cc1c0403cc1c0403cc1c0403c
ELBOW,83,55153,0.0892,4,4,3,3,,8180803c8180803cc1c0403cc1c0403c
ELBOW,84,54758,0.0885,3,3,4,4,,c1c0403cc1c0403c8180803c8180803c
ELBOW,85,54549,0.0882,3,3,3,2,,c1c0403cc1c0403cc1c0403c8180003c
ELBOW,86,54306,0.0878,76,76,76,76,,9998983e9998983e9998983e9998983e
ELBOW,87,53327,0.0862,4,3,4,4,,8180803cc1c0403c8180803c8180803c
ELBOW,88,53180,0.0860,4,4,3,4,,8180803c8180803cc1c0403c8180803c
ELBOW,89,52822,0.0854,3,3,4,3,,c1c0403cc1c0403c8180803cc1c0403c
ELBOW,90,52647,0.0851,3,4,3,3,,c1c0403c8180803cc1c0403cc1c0403c
ELBOW,91,48888,0.0790,77,77,77,77,,9b9a9a3e9b9a9a3e9b9a9a3e9b9a9a3e
ELBOW,92,45918,0.0742,29,30,30,30,,e9e8e83df1f0f03df1f0f03df1f0f03d
ELBOW,93,45517,0.0736,30,30,30,31,,f1f0f03df1f0f03df1f0f03df9f8f83d
ELBOW,94,45266,0.0732,31,31,31,30,,f9f8f83df9f8f83df9f8f83df1f0f03d
ELBOW,95,45107,0.0729,30,31,31,31,,f1f0f03df9f8f83df9f8f83df9f8f83d
ELBOW,96,44857,0.0725,30,30,30,29,,f1f0f03df1f0f03df1f0f03de9e8e83d
ELBOW,97,44732,0.0723,31,30,30,30,,f9f8f83df1f0f03df1f0f03df1f0f03d
ELBOW,98,44678,0.0722,78,78,78,78,,9d9c9c3e9d9c9c3e9d9c9c3e9d9c9c3e
ELBOW,99,44109,0.0713,29,29,29,30,,e9e8e83de9e8e83de9e8e83df1f0f03d
ELBOW,100,43185,0.0698,30,29,29,29,,f1f0f03de9e8e83de9e8e83de9e8e83d
FINGER,1,4964360,7.7508,0,0,0,0,*,00000000000000000000000000000000
FINGER,2,1983588,3.0970,4,4,4,4,*,8180803c8180803c8180803c8180803c
FINGER,3,1566424,2.4456,1,1,1,1,*,8180803b8180803b8180803b8180803b
FINGER,4,1266107,1.9768,2,2,2,2,*,8180003c8180003c8180003c8180003c
FINGER,5,1067131,1.6661,3,3,3,3,*,c1c0403cc1c0403cc1c0403cc1c0403c
FINGER,6,924410,1.4433,5,5,5,5,*,a1a0a03ca1a0a03ca1a0a03ca1a0a03c
FINGER,7,518260,0.8092,50,50,50,50,*,c9c8483ec9c8483ec9c8483ec9c8483e
FINGER,8,401087,0.6262,42,42,42,42,*,a9a8283ea9a8283ea9a8283ea9a8283e
FINGER,9,385982,0.6026,43,43,43,43,*,adac2c3eadac2c3eadac2c3eadac2c3e
FINGER,10,382664,0.5974,41,41,41,41,*,a5a4243ea5a4243ea5a4243ea5a4243e
FINGER,11,353213,0.5515,44,44,44,44,*,b1b0303eb1b0303eb1b0303eb1b0303e
FINGER,12,344727,0.5382,30,30,30,30,*,f1f0f03df1f0f03df1f0f03df1f0f03d
FINGER,13,313041,0.4887,29,29,29,29,*,e9e8e83de9e8e83de9e8e83de9e8e83d
FINGER,14,311244,0.4859,45,45,45,45,*,b5b4343eb5b4343eb5b4343eb5b4343e
FINGER,15,293906,0.4589,40,40,40,40,*,a1a0203ea1a0203ea1a0203ea1a0203e
FINGER,16,273834,0.4275,46,46,46,46,*,b9b8383eb9b8383eb9b8383eb9b8383e
FINGER,17,273095,0.4264,11,11,11,11,*,b1b0303db1b0303db1b0303db1b0303d
FINGER,18,271942,0.4246,31,31,31,31,*,f9f8f83df9f8f83df9f8f83df9f8f83d
FINGER,19,268911,0.4198,58,58,58,58,*,e9e8683ee9e8683ee9e8683ee9e8683e
FINGER,20,231639,0.3617,59,59,59,59,*,edec6c3eedec6c3eedec6c3eedec6c3e
FINGER,21,223751,0.3493,47,47,47,47,*,bdbc3c3ebdbc3c3ebdbc3c3ebdbc3c3e
FINGER,22,223450,0.3489,57,57,57,57,*,e5e4643ee5e4643ee5e4643ee5e4643e
FINGER,23,216364,0.3378,8,8,8,8,*,8180003d8180003d8180003d8180003d
FINGER,24,211798,0.3307,28,28,28,28,*,e1e0e03de1e0e03de1e0e03de1e0e03d
FINGER,25,209696,0.3274,32,32,32,32,*,8180003e8180003e8180003e8180003e
FINGER,26,208467,0.3255,39,39,39,39,*,9d9c1c3e9d9c1c3e9d9c1c3e9d9c1c3e
FINGER,27,197532,0.3084,6,6,6,6,*,c1c0c03cc1c0c03cc1c0c03cc1c0c03c
FINGER,28,183973,0.2872,38,38,38,38,*,9998183e9998183e9998183e9998183e
FINGER,29,173390,0.2707,9,9,9,9,*,9190103d9190103d9190103d9190103d
FINGER,30,170769,0.2666,205,205,205,205,*,cecd4d3fcecd4d3fcecd4d3fcecd4d3f
FINGER,31,170430,0.2661,33,33,33,33,*,8584043e8584043e8584043e8584043e
FINGER,32,169398,0.2645,56,56,56,56,*,e1e0603ee1e0603ee1e0603ee1e0603e
FINGER,33,169367,0.2644,49,49,49,49,*,c5c4443ec5c4443ec5c4443ec5c4443e
FINGER,34,164014,0.2561,48,48,48,48,*,c1c0403ec1c0403ec1c0403ec1c0403e
FINGER,35,162867,0.2543,27,27,27,27,*,d9d8d83dd9d8d83dd9d8d83dd9d8d83d
FINGER,36,157993,0.2467,55,55,55,55,*,dddc5c3edddc5c3edddc5c3edddc5c3e
FINGER,37,154282,0.2409,10,10,10,10,*,a1a0203da1a0203da1a0203da1a0203d
FINGER,38,149648,0.2336,51,51,51,51,*,cdcc4c3ecdcc4c3ecdcc4c3ecdcc4c3e
FINGER,39,148732,0.2322,26,26,26,26,*,d1d0d03dd1d0d03dd1d0d03dd1d0d03d
FINGER,40,139639,0.2180,7,7,7,7,*,e1e0e03ce1e0e03ce1e0e03ce1e0e03c
FINGER,41,134711,0.2103,52,52,52,52,*,d1d0503ed1d0503ed1d0503ed1d0503e
FINGER,42,133563,0.2085,54,54,54,54,*,d9d8583ed9d8583ed9d8583ed9d8583e
FINGER,43,132401,0.2067,34,34,34,34,*,8988083e8988083e8988083e8988083e
FINGER,44,131609,0.2055,35,35,35,35,*,8d8c0c3e8d8c0c3e8d8c0c3e8d8c0c3e
FINGER,45,131206,0.2049,53,53,53,53,*,d5d4543ed5d4543ed5d4543ed5d4543e
FINGER,46,129943,0.2029,25,25,25,25,*,c9c8c83dc9c8c83dc9c8c83dc9c8c83d
FINGER,47,129045,0.2015,36,36,36,36,*,9190103e9190103e9190103e9190103e
FINGER,48,127726,0.1994,37,37,37,37,*,9594143e9594143e9594143e9594143e
FINGER,49,109642,0.1712,60,60,60,60,*,f1f0703ef1f0703ef1f0703ef1f0703e
FINGER,50,103991,0.1624,24,24,24,24,*,c1c0c03dc1c0c03dc1c0c03dc1c0c03d
FINGER,51,93045,0.1453,4,4,4,5,,8180803c8180803c8180803ca1a0a03c
FINGER,52,92000,0.1436,5,4,4,4,,a1a0a03c8180803c8180803c8180803c
FINGER,53,90101,0.1407,61,61,61,61,*,f5f4743ef5f4743ef5f4743ef5f4743e
FINGER,54,85141,0.1329,3,4,4,4,,c1c0403c8180803c8180803c8180803c
FINGER,55,85026,0.1328,4,4,4,3,,8180803c8180803c8180803cc1c0403c
FINGER,56,84996,0.1327,23,23,23,23,*,b9b8b83db9b8b83db9b8b83db9b8b83d
FINGER,57,84212,0.1315,5,5,5,4,,a1a0a03ca1a0a03ca1a0a03c8180803c
FINGER,58,83579,0.1305,4,5,5,5,,8180803ca1a0a03ca1a0a03ca1a0a03c
FINGER,59,83047,0.1297,62,62,62,62,*,f9f8783ef9f8783ef9f8783ef9f8783e
FINGER,60,79546,0.1242,22,22,22,22,*,b1b0b03db1b0b03db1b0b03db1b0b03d
FINGER,61,78603,0.1227,63,63,63,63,*,fdfc7c3efdfc7c3efdfc7c3efdfc7c3e
FINGER,62,69027,0.1078,4,4,5,4,,8180803c8180803ca1a0a03c8180803c
FINGER,63,68890,0.1076,4,5,4,4,,8180803ca1a0a03c8180803c8180803c
FINGER,64,67773,0.1058,64,64,64,64,*,8180803e8180803e8180803e8180803e
FINGER,65,67363,0.1052,4,3,4,4,,8180803cc1c0403c8180803c8180803c
FINGER,66,67102,0.1048,4,4,3,4,,8180803c8180803cc1c0403c8180803c
FINGER,67,66838,0.1044,21,21,21,21,*,a9a8a83da9a8a83da9a8a83da9a8a83d
FINGER,68,63960,0.0999,12,12,12,12,*,c1c0403dc1c0403dc1c0403dc1c0403d
FINGER,69,63101,0.0985,5,4,5,5,,a1a0a03c8180803ca1a0a03ca1a0a03c
FINGER,70,62904,0.0982,5,5,4,5,,a1a0a03ca1a0a03c8180803ca1a0a03c
FINGER,71,59652,0.0931,4,4,5,5,,8180803c8180803ca1a0a03ca1a0a03c
FINGER,72,59391,0.0927,5,5,4,4,,a1a0a03ca1a0a03c8180803c8180803c
FINGER,73,57677,0.0901,65,65,65,65,*,8382823e8382823e8382823e8382823e
FINGER,74,56515,0.0882,3,3,3,4,,c1c0403cc1c0403cc1c0403c8180803c
FINGER,75,56363,0.0880,4,3,3,3,,8180803cc1c0403cc1c0403cc1c0403c
FINGER,76,56342,0.0880,20,20,20,20,*,a1a0a03da1a0a03da1a0a03da1a0a03d
FINGER,77,53879,0.0841,255,255,255,255,,0000803f0000803f0000803f0000803f
FINGER,78,49978,0.0780,66,66,66,66,*,8584843e8584843e8584843e8584843e
FINGER,79,48693,0.0760,57,58,58,58,,e5e4643ee9e8683ee9e8683ee9e8683e
FINGER,80,48134,0.0752,58,58,58,57,,e9e8683ee9e8683ee9e8683ee5e4643e
FINGER,81,47317,0.0739,58,58,58,59,,e9e8683ee9e8683ee9e8683eedec6c3e
FINGER,82,47122,0.0736,59,58,58,58,,edec6c3ee9e8683ee9e8683ee9e8683e
FINGER,83,46895,0.0732,59,59,59,58,,edec6c3eedec6c3eedec6c3ee9e8683e
FINGER,84,46800,0.0731,58,59,59,59,,e9e8683eedec6c3eedec6c3eedec6c3e
FINGER,85,45850,0.0716,3,3,4,4,,c1c0403cc1c0403c8180803c8180803c
FINGER,86,45320,0.0708,4,4,3,3,,8180803c8180803cc1c0403cc1c0403c
FINGER,87,45155,0.0705,57,57,57,58,,e5e4643ee5e4643ee5e4643ee9e8683e
FINGER,88,44940,0.0702,58,57,57,57,,e9e8683ee5e4643ee5e4643ee5e4643e
FINGER,89,44701,0.0698,13,13,13,13,*,d1d0503dd1d0503dd1d0503dd1d0503d
FINGER,90,43452,0.0678,44,44,44,43,,b1b0303eb1b0303eb1b0303eadac2c3e
FINGER,91,43382,0.0677,67,67,67,67,,8786863e8786863e8786863e8786863e
FINGER,92,42997,0.0671,57,57,57,56,,e5e4643ee5e4643ee5e4643ee1e0603e
FINGER,93,42856,0.0669,43,44,44,44,,adac2c3eb1b0303eb1b0303eb1b0303e
FINGER,94,42673,0.0666,43,43,43,42,,adac2c3eadac2c3eadac2c3ea9a8283e
FINGER,95,42520,0.0664,56,57,57,57,,e1e0603ee5e4643ee5e4643ee5e4643e
FINGER,96,42068,0.0657,42,43,43,43,,a9a8283eadac2c3eadac2c3eadac2c3e
FINGER,97,41784,0.0652,14,14,14,14,,e1e0603de1e0603de1e0603de1e0603d
FINGER,98,41502,0.0648,4,5,5,4,,8180803ca1a0a03ca1a0a03c8180803c
FINGER,99,40942,0.0639,3,4,3,3,,c1c0403c8180803cc1c0403cc1c0403c
FINGER,100,40881,0.0638,42,42,42,41,,a9a8283ea9a8283ea9a8283ea5a4243e
FOREARM,1,1338685,5.8476,0,0,0,0,*,00000000000000000000000000000000
FOREARM,2,759967,3.3197,3,3,3,3,*,c1c0403cc1c0403cc1c0403cc1c0403c
FOREARM,3,527225,2.3030,4,4,4,4,*,8180803c8180803c8180803c8180803c
FOREARM,4,262433,1.1464,10,10,10,10,*,a1a0203da1a0203da1a0203da1a0203d
FOREARM,5,225306,0.9842,2,2,2,2,*,8180003c8180003c8180003c8180003c
FOREARM,6,203740,0.8900,11,11,11,11,*,b1b0303db1b0303db1b0303db1b0303d
FOREARM,7,189992,0.8299,38,38,38,38,*,9998183e9998183e9998183e9998183e
FOREARM,8,182806,0.7985,1,1,1,1,*,8180803b8180803b8180803b8180803b
FOREARM,9,152066,0.6643,5,5,5,5,*,a1a0a03ca1a0a03ca1a0a03ca1a0a03c
FOREARM,10,135519,0.5920,9,9,9,9,*,9190103d9190103d9190103d9190103d
FOREARM,11,112439,0.4912,40,40,40,40,*,a1a0203ea1a0203ea1a0203ea1a0203e
FOREARM,12,110312,0.4819,37,37,37,37,*,9594143e9594143e9594143e9594143e
FOREARM,13,107536,0.4697,39,39,39,39,*,9d9c1c3e9d9c1c3e9d9c1c3e9d9c1c3e
FOREARM,14,103481,0.4520,36,36,36,36,*,9190103e9190103e9190103e9190103e
FOREARM,15,95582,0.4175,33,33,33,33,*,8584043e8584043e8584043e8584043e
FOREARM,16,89455,0.3908,32,32,32,32,*,8180003e8180003e8180003e8180003e
FOREARM,17,86771,0.3790,35,35,35,35,*,8d8c0c3e8d8c0c3e8d8c0c3e8d8c0c3e
FOREARM,18,84716,0.3701,29,29,29,29,*,e9e8e83de9e8e83de9e8e83de9e8e83d
FOREARM,19,84077,0.3673,30,30,30,30,*,f1f0f03df1f0f03df1f0f03df1f0f03d
FOREARM,20,82758,0.3615,28,28,28,28,*,e1e0e03de1e0e03de1e0e03de1e0e03d
FOREARM,21,82066,0.3585,41,41,41,41,*,a5a4243ea5a4243ea5a4243ea5a4243e
FOREARM,22,81871,0.3576,27,27,27,27,*,d9d8d83dd9d8d83dd9d8d83dd9d8d83d
FOREARM,23,81738,0.3570,34,34,34,34,*,8988083e8988083e8988083e8988083e
FOREARM,24,81655,0.3567,8,8,8,8,*,8180003d8180003d8180003d8180003d
FOREARM,25,80685,0.3524,31,31,31,31,*,f9f8f83df9f8f83df9f8f83df9f8f83d
FOREARM,26,78449,0.3427,6,6,6,6,*,c1c0c03cc1c0c03cc1c0c03cc1c0c03c
FOREARM,27,72485,0.3166,7,7,7,7,*,e1e0e03ce1e0e03ce1e0e03ce1e0e03c
FOREARM,28,69357,0.3030,42,42,42,42,*,a9a8283ea9a8283ea9a8283ea9a8283e
FOREARM,29,62079,0.2712,55,55,55,55,*,dddc5c3edddc5c3edddc5c3edddc5c3e
FOREARM,30,60304,0.2634,56,56,56,56,*,e1e0603ee1e0603ee1e0603ee1e0603e
FOREARM,31,57439,0.2509,57,57,57,57,*,e5e4643ee5e4643ee5e4643ee5e4643e
FOREARM,32,56907,0.2486,26,26,26,26,*,d1d0d03dd1d0d03dd1d0d03dd1d0d03d
FOREARM,33,56301,0.2459,24,24,24,24,*,c1c0c03dc1c0c03dc1c0c03dc1c0c03d
FOREARM,34,55930,0.2443,43,43,43,43,*,adac2c3eadac2c3eadac2c3eadac2c3e
FOREARM,35,55043,0.2404,52,52,52,52,*,d1d0503ed1d0503ed1d0503ed1d0503e
FOREARM,36,54996,0.2402,54,54,54,54,*,d9d8583ed9d8583ed9d8583ed9d8583e
FOREARM,37,54904,0.2398,53,53,53,53,*,d5d4543ed5d4543ed5d4543ed5d4543e
FOREARM,38,54133,0.2365,51,51,51,51,*,cdcc4c3ecdcc4c3ecdcc4c3ecdcc4c3e
FOREARM,39,54125,0.2364,25,25,25,25,*,c9c8c83dc9c8c83dc9c8c83dc9c8c83d
FOREARM,40,50735,0.2216,3,3,3,4,,c1c0403cc1c0403cc1c0403c8180803c
FOREARM,41,49954,0.2182,4,3,3,3,,8180803cc1c0403cc1c0403cc1c0403c
FOREARM,42,49949,0.2182,23,23,23,23,*,b9b8b83db9b8b83db9b8b83db9b8b83d
FOREARM,43,49887,0.2179,49,49,49,49,*,c5c4443ec5c4443ec5c4443ec5c4443e
FOREARM,44,49166,0.2148,3,4,4,4,,c1c0403c8180803c8180803c8180803c
FOREARM,45,48898,0.2136,44,44,44,44,*,b1b0303eb1b0303eb1b0303eb1b0303e
FOREARM,46,48663,0.2126,4,4,4,3,,8180803c8180803c8180803cc1c0403c
FOREARM,47,47217,0.2063,22,22,22,22,*,b1b0b03db1b0b03db1b0b03db1b0b03d
FOREARM,48,47128,0.2059,47,47,47,47,*,bdbc3c3ebdbc3c3ebdbc3c3ebdbc3c3e
FOREARM,49,44834,0.1958,50,50,50,50,*,c9c8483ec9c8483ec9c8483ec9c8483e
FOREARM,50,42348,0.1850,58,58,58,58,*,e9e8683ee9e8683ee9e8683ee9e8683e
FOREARM,51,40692,0.1778,45,45,45,45,*,b5b4343eb5b4343eb5b4343eb5b4343e
FOREARM,52,40113,0.1752,21,21,21,21,*,a9a8a83da9a8a83da9a8a83da9a8a83d
FOREARM,53,39275,0.1716,48,48,48,48,*,c1c0403ec1c0403ec1c0403ec1c0403e
FOREARM,54,38525,0.1683,46,46,46,46,*,b9b8383eb9b8383eb9b8383eb9b8383e
FOREARM,55,37194,0.1625,20,20,20,20,*,a1a0a03da1a0a03da1a0a03da1a0a03d
FOREARM,56,36596,0.1599,18,18,18,18,,9190903d9190903d9190903d9190903d
FOREARM,57,36520,0.1595,19,19,19,19,*,9998983d9998983d9998983d9998983d
FOREARM,58,34492,0.1507,17,17,17,17,,8988883d8988883d8988883d8988883d
FOREARM,59,33698,0.1472,16,16,16,16,*,8180803d8180803d8180803d8180803d
FOREARM,60,33439,0.1461,60,60,60,60,*,f1f0703ef1f0703ef1f0703ef1f0703e
FOREARM,61,32577,0.1423,3,4,3,3,,c1c0403c8180803cc1c0403cc1c0403c
FOREARM,62,32480,0.1419,3,3,4,3,,c1c0403cc1c0403c8180803cc1c0403c
FOREARM,63,32330,0.1412,3,3,4,4,,c1c0403cc1c0403c8180803c8180803c
FOREARM,64,32226,0.1408,15,15,15,15,,f1f0703df1f0703df1f0703df1f0703d
FOREARM,65,31934,0.1395,13,13,13,13,*,d1d0503dd1d0503dd1d0503dd1d0503d
FOREARM,66,31851,0.1391,4,4,3,3,,8180803c8180803cc1c0403cc1c0403c
FOREARM,67,30912,0.1350,12,12,12,12,*,c1c0403dc1c0403dc1c0403dc1c0403d
FOREARM,68,30550,0.1334,3,3,3,2,,c1c0403cc1c0403cc1c0403c8180003c
FOREARM,69,30114,0.1315,2,3,3,3,,8180003cc1c0403cc1c0403cc1c0403c
FOREARM,70,29656,0.1295,14,14,14,14,,e1e0603de1e0603de1e0603de1e0603d
FOREARM,71,29610,0.1293,59,59,59,59,*,edec6c3eedec6c3eedec6c3eedec6c3e
FOREARM,72,29542,0.1290,4,3,4,4,,8180803cc1c0403c8180803c8180803c
FOREARM,73,29339,0.1282,4,4,3,4,,8180803c8180803cc1c0403c8180803c
FOREARM,74,26510,0.1158,10,11,11,11,,a1a0203db1b0303db1b0303db1b0303d
FOREARM,75,25688,0.1122,11,11,11,10,,b1b0303db1b0303db1b0303da1a0203d
FOREARM,76,25653,0.1121,61,61,61,61,*,f5f4743ef5f4743ef5f4743ef5f4743e
FOREARM,77,25153,0.1099,62,62,62,62,*,f9f8783ef9f8783ef9f8783ef9f8783e
FOREARM,78,24632,0.1076,217,217,217,217,,dad9593fdad9593fdad9593fdad9593f
FOREARM,79,24058,0.1051,63,63,63,63,*,fdfc7c3efdfc7c3efdfc7c3efdfc7c3e
FOREARM,80,23613,0.1031,10,10,10,11,,a1a0203da1a0203da1a0203db1b0303d
FOREARM,81,23572,0.1030,64,64,64,64,*,8180803e8180803e8180803e8180803e
FOREARM,82,23147,0.1011,11,10,10,10,,b1b0303da1a0203da1a0203da1a0203d
FOREARM,83,22920,0.1001,3,4,4,3,,c1c0403c8180803c8180803cc1c0403c
FOREARM,84,21831,0.0954,65,65,65,65,*,8382823e8382823e8382823e8382823e
FOREARM,85,21390,0.0934,66,66,66,66,*,8584843e8584843e8584843e8584843e
