# 2-token clinical-ish bigrams  resolved=3462/3463
# clinical_filter=True  dropped={'bpe_fragment': 381, 'punct_prefix': 214, 'drop_always': 6, 'starts_with_glue': 281, 'ends_with_glue': 114, 'glue_only': 77, 'deny_regex': 136, 'no_alpha': 31, 'weak_solo_punct': 12}
# sorted by samples desc, then abs desc
[  78] samples=  21 abs=  21  '9 positive'  ids=[24, 6785]
[  79] samples=  21 abs=  21  ' lobe'  ids=[326, 15422]
[  80] samples=  21 abs=  21  ' follow-up'  ids=[1795, 5239]
[  81] samples=  21 abs=  21  ' Left-sided'  ids=[13727, 49758]
[  82] samples=  21 abs=  21  ' pneumonia,'  ids=[68229, 11]
[  83] samples=  20 abs=  21  ' back pain'  ids=[1182, 6646]
[  84] samples=  20 abs=  21  ' lung cancer'  ids=[20622, 9387]
[  85] samples=  20 abs=  20  ' right-sided'  ids=[1290, 49758]
[  86] samples=  20 abs=  20  ' fall.'  ids=[4399, 13]
[  87] samples=  20 abs=  20  ' positive.'  ids=[6785, 13]
[  88] samples=  20 abs=  20  ' vehicle collision'  ids=[7310, 18752]
[  89] samples=  20 abs=  20  ' Premature'  ids=[11767, 1568]
[  90] samples=  20 abs=  20  ' altered mental'  ids=[28752, 10502]
[  91] samples=  20 abs=  20  ' asthma.'  ids=[50543, 13]
[  92] samples=  19 abs=  19  ' tach'  ids=[259, 610]
[  93] samples=  19 abs=  19  ' Intub'  ids=[1333, 392]
[  94] samples=  19 abs=  19  ' past '  ids=[3267, 220]
[  95] samples=  19 abs=  19  ' Endotr'  ids=[3972, 86379]
[  96] samples=  19 abs=  19  ' infection.'  ids=[18873, 13]
[  97] samples=  19 abs=  19  ' COVID positive'  ids=[19966, 6785]
[  98] samples=  19 abs=  19  ' Pulmonary'  ids=[34862, 54792]
[  99] samples=  19 abs=  19  ' exertion'  ids=[42744, 290]
[ 100] samples=  19 abs=  19  ' thoracent'  ids=[72733, 18181]
[ 101] samples=  18 abs=  19  ' infiltrate'  ids=[42264, 349]
[ 102] samples=  18 abs=  18  ' Tach'  ids=[350, 610]
[ 103] samples=  18 abs=  18  ' Abnormal'  ids=[3680, 8252]
[ 104] samples=  18 abs=  18  ' Initial evaluation'  ids=[4127, 16460]
[ 105] samples=  18 abs=  18  ' surgery.'  ids=[14829, 13]
[ 106] samples=  18 abs=  18  ' artery disease'  ids=[64315, 8457]
[ 107] samples=  17 abs=  17  ' x-ray'  ids=[856, 29530]
[ 108] samples=  17 abs=  17  ' congestion,'  ids=[54046, 11]
[ 109] samples=  17 abs=  17  ' hemorrhage'  ids=[70317, 424]
[ 110] samples=  16 abs=  16  ' dizziness'  ids=[294, 96645]
[ 111] samples=  16 abs=  16  ' seps'  ids=[511, 1690]
[ 112] samples=  16 abs=  16  ' injury.'  ids=[10895, 13]
[ 113] samples=  16 abs=  16  '-day-old'  ids=[11228, 6284]
[ 114] samples=  16 abs=  16  ' accident.'  ids=[11423, 13]
[ 115] samples=  16 abs=  16  ' stroke.'  ids=[12654, 13]
[ 116] samples=  16 abs=  16  ' chest.'  ids=[15138, 13]
[ 117] samples=  16 abs=  16  ' Asthma'  ids=[20113, 40353]
[ 118] samples=  16 abs=  16  ' consciousness.'  ids=[24875, 13]
[ 119] samples=  16 abs=  16  ' abdominal pain'  ids=[55956, 6646]
[ 120] samples=  16 abs=  16  ' vomiting.'  ids=[62471, 13]
[ 121] samples=  16 abs=  16  ' pulmonary ed'  ids=[69424, 1578]
[ 122] samples=  15 abs=  15  ' C-section'  ids=[356, 21599]
[ 123] samples=  15 abs=  15  ' aneur'  ids=[458, 12559]
[ 124] samples=  15 abs=  15  ' extremity'  ids=[5876, 487]
[ 125] samples=  15 abs=  15  ' Right-sided'  ids=[10083, 49758]
[ 126] samples=  15 abs=  15  ' chest x'  ids=[15138, 856]
[ 127] samples=  15 abs=  15  ' atrial'  ids=[29570, 530]
[ 128] samples=  14 abs=  14  'C placement'  ids=[34, 21448]
[ 129] samples=  14 abs=  14  ' Nons'  ids=[451, 2382]
[ 130] samples=  14 abs=  14  ' Unstable'  ids=[1230, 27992]
[ 131] samples=  14 abs=  14  ' effusions'  ids=[3289, 35707]
[ 132] samples=  14 abs=  14  ' lower l'  ids=[4722, 326]
[ 133] samples=  14 abs=  14  ' exam.'  ids=[7006, 13]
[ 134] samples=  14 abs=  14  ' Congestion'  ids=[7261, 42498]
[ 135] samples=  14 abs=  14  ' venous'  ids=[11208, 782]
[ 136] samples=  14 abs=  14  ' Confusion'  ids=[14974, 7560]
[ 137] samples=  14 abs=  14  ' chest tube'  ids=[15138, 13705]
[ 138] samples=  14 abs=  14  ' chest congestion'  ids=[15138, 54046]
[ 139] samples=  14 abs=  14  ' Rule out'  ids=[18100, 700]
[ 140] samples=  14 abs=  14  ' coughing'  ids=[39600, 287]
[ 141] samples=  14 abs=  14  ' Chest tube'  ids=[41771, 13705]
[ 142] samples=  14 abs=  14  ' carcinoma.'  ids=[88368, 13]
[ 143] samples=  13 abs=  13  ' aches'  ids=[264, 8528]
[ 144] samples=  13 abs=  13  ' left chest'  ids=[2115, 15138]
[ 145] samples=  13 abs=  13  ' former smoker'  ids=[4741, 77220]
[ 146] samples=  13 abs=  13  ' Overd'  ids=[6065, 67]
[ 147] samples=  13 abs=  13  ' replacement.'  ids=[13723, 13]
[ 148] samples=  13 abs=  13  ' Syncope'  ids=[23153, 2417]
[ 149] samples=  13 abs=  13  ' Ventil'  ids=[26407, 321]
[ 150] samples=  13 abs=  13  ' bronchos'  ids=[29971, 45248]
[ 151] samples=  12 abs=  12  ' Atrial'  ids=[362, 47347]
[ 152] samples=  12 abs=  12  ' Unresponsive'  ids=[1230, 51297]
[ 153] samples=  12 abs=  12  ' Newborn'  ids=[1532, 15998]
[ 154] samples=  12 abs=  12  ' left-sided'  ids=[2115, 49758]
[ 155] samples=  12 abs=  12  ' infar'  ids=[4132, 277]
[ 156] samples=  12 abs=  12  ' Congest'  ids=[7261, 477]
[ 157] samples=  12 abs=  12  '-Cath'  ids=[7658, 587]
[ 158] samples=  12 abs=  12  ' gestational'  ids=[12743, 1663]
[ 159] samples=  12 abs=  12  ' Fall,'  ids=[14785, 11]
[ 160] samples=  12 abs=  12  ' Fall.'  ids=[14785, 13]
[ 161] samples=  12 abs=  12  ' chest tight'  ids=[15138, 10296]
[ 162] samples=  12 abs=  12  ' chest complaints'  ids=[15138, 21171]
[ 163] samples=  12 abs=  12  ' shoulder pain'  ids=[16882, 6646]
[ 164] samples=  12 abs=  12  ' pacemaker'  ids=[22894, 58675]
[ 165] samples=  12 abs=  12  ' weakness,'  ids=[23078, 11]
[ 166] samples=  12 abs=  12  ' dialysis'  ids=[27860, 4448]
[ 167] samples=  12 abs=  12  ' valve replacement'  ids=[31430, 13723]
[ 168] samples=  12 abs=  12  ' Pleural'  ids=[32440, 4176]
[ 169] samples=  12 abs=  12  ' Former smoker'  ids=[32500, 77220]
[ 170] samples=  12 abs=  12  ' nausea,'  ids=[60780, 11]
[ 171] samples=  12 abs=  12  ' hernia'  ids=[71809, 685]
[ 172] samples=  12 abs=  12  ' aspiration.'  ids=[97641, 13]
[ 173] samples=  11 abs=  11  ' Interm'  ids=[1333, 4195]
[ 174] samples=  11 abs=  11  ' left pneum'  ids=[2115, 56123]
[ 175] samples=  11 abs=  11  ' Generalized'  ids=[3251, 1506]
[ 176] samples=  11 abs=  11  ' lower extrem'  ids=[4722, 5876]
[ 177] samples=  11 abs=  11  ' Port-A'  ids=[5776, 6691]
[ 178] samples=  11 abs=  11  ' Right rib'  ids=[10083, 20131]
[ 179] samples=  11 abs=  11  ' yesterday.'  ids=[13671, 13]
[ 180] samples=  11 abs=  11  ' chest wall'  ids=[15138, 7002]
[ 181] samples=  11 abs=  11  ' evaluation.'  ids=[16460, 13]
[ 182] samples=  11 abs=  11  ' complaints.'  ids=[21171, 13]
[ 183] samples=  11 abs=  11  ' Gunshot'  ids=[21707, 6340]
[ 184] samples=  11 abs=  11  ' trauma.'  ids=[29888, 13]
[ 185] samples=  11 abs=  11  ' congestive'  ids=[43285, 533]
[ 186] samples=  11 abs=  11  ' swelling.'  ids=[54207, 13]
[ 187] samples=  11 abs=  11  ' fracture.'  ids=[58804, 13]
[ 188] samples=  11 abs=  11  ' ventilator'  ids=[70602, 850]
[ 189] samples=  10 abs=  11  ' coronary artery'  ids=[65198, 64315]
[ 190] samples=  10 abs=  10  ' Dizziness'  ids=[422, 96645]
[ 191] samples=  10 abs=  10  ' mid chest'  ids=[5099, 15138]
[ 192] samples=  10 abs=  10  ' Code stroke'  ids=[6119, 12654]
[ 193] samples=  10 abs=  10  ' syncope'  ids=[6782, 2417]
[ 194] samples=  10 abs=  10  ' upper chest'  ids=[8416, 15138]
[ 195] samples=  10 abs=  10  ' NG tube'  ids=[20018, 13705]
[ 196] samples=  10 abs=  10  ' breathing.'  ids=[25938, 13]
[ 197] samples=  10 abs=  10  ' cardiac arrest'  ids=[46245, 8004]
[ 198] samples=  10 abs=  10  ' neonate'  ids=[46652, 349]
[ 199] samples=  10 abs=  10  ' Coronary'  ids=[47083, 658]
[ 200] samples=  10 abs=  10  ' vomiting,'  ids=[62471, 11]
